listing,Van Leeuwen,Gelateria Gentile,OddFellows,Ample Hills,Emack & Bolio's,average,min,max,price per night,room type,super host status,instant book feature,host-listings count,latitude,longitude,review scores rating,accomodates,cancellation
5415365,4.6,7.5,7.6,4.1,5.2,5.8,4.1,7.6,65,Entire home/apt,n,n,3,40.63230443,-74.01973395,92,4,strict
14393985,3.1,3.2,3.4,3.1,3.3,3.22,3.1,3.4,75,Private room,n,n,1,40.68035757,-73.93765588,100,2,moderate
13057103,4.7,7.8,8,4.3,5.3,6.02,4.3,8,30,Private room,n,n,2,40.63095491,-74.03026439,100,1,strict
13020167,2,2.5,2.7,2,2.3,2.3,2,2.7,59,Private room,y,n,1,40.68376339,-73.95717825,96,4,strict
16301294,2.7,2.7,2.9,2.7,2.9,2.78,2.7,2.9,164,Entire home/apt,n,n,1,40.68493432,-73.94402786,96,6,strict
10070294,2.5,2.8,3,2.5,2.8,2.72,2.5,3,55,Private room,n,n,1,40.68272809,-73.94786467,60,2,moderate
883209,2.7,2.3,2.5,2.8,3,2.66,2.3,3,50,Shared room,n,n,1,40.6913199,-73.94205186,87,1,flexible
8648134,2.3,2.7,2.8,2.3,2.5,2.52,2.3,2.8,130,Entire home/apt,n,n,1,40.68221569,-73.95284046,100,2,flexible
17095825,3.1,2.7,2.8,3.2,3.4,3.04,2.7,3.4,60,Private room,n,y,1,40.69131038,-73.93514829,,2,flexible
13372860,3.4,2.9,3,3.4,3.7,3.28,2.9,3.7,69,Entire home/apt,n,y,1,40.69075933,-73.92886163,95,2,flexible
9231083,4.1,3.4,3.5,4.1,4.3,3.88,3.4,4.3,85,Private room,n,n,1,40.6869754,-73.91860779,95,2,flexible
9219569,3.9,3.2,3.3,3.9,4.2,3.7,3.2,4.2,125,Entire home/apt,n,n,1,40.69063609,-73.92100175,100,3,moderate
4865749,4.3,2.8,2.9,4.5,4.3,3.76,2.8,4.5,95,Entire home/apt,n,n,1,40.7053576,-73.92086738,90,2,strict
55505,3.8,2.9,3,3.8,3.9,3.48,2.9,3.9,130,Entire home/apt,n,n,1,40.69515661,-73.92440287,92,2,strict
15606875,3.8,2.9,3,3.8,3.9,3.48,2.9,3.9,80,Private room,n,n,2,40.6963574,-73.92481649,100,3,flexible
9115832,3.4,2.4,2.5,3.7,3.5,3.1,2.4,3.7,60,Private room,n,n,1,40.69824245,-73.93231393,,2,flexible
13435919,3.6,2.7,2.8,3.7,3.7,3.3,2.7,3.7,65,Private room,n,y,8,40.69496401,-73.92771604,87,2,strict
13325886,4.6,3.5,3.6,4.7,4.7,4.22,3.5,4.7,45,Private room,n,n,1,40.69667556,-73.91014279,,2,strict
14731034,4.2,2.7,2.8,4.4,4.2,3.66,2.7,4.4,50,Private room,n,n,3,40.70588887,-73.92259989,84,2,flexible
13316683,4.7,3.6,3.6,4.8,4.7,4.28,3.6,4.8,70,Shared room,n,y,1,40.69557151,-73.91049141,,1,moderate
16911777,4.4,3.6,3.7,4.4,4.7,4.16,3.6,4.7,45,Private room,n,n,4,40.68892634,-73.91315109,,2,strict
16439360,3.8,2.7,2.8,4,3.9,3.44,2.7,4,175,Entire home/apt,n,y,1,40.70077767,-73.92671058,88,7,strict
11621388,4.2,2.8,2.9,4.4,4.2,3.7,2.8,4.4,150,Entire home/apt,n,n,1,40.7036656,-73.92142957,91,8,strict
16332224,4.2,3.3,3.4,4.2,4.4,3.9,3.3,4.4,68,Private room,n,n,1,40.69129333,-73.91769962,100,2,strict
10723838,4,3.1,3.2,4,4.2,3.7,3.1,4.2,59,Private room,n,n,6,40.6942964,-73.92143667,87,2,strict
16720768,4.7,3.7,3.8,4.7,4.8,4.34,3.7,4.8,35,Shared room,n,y,2,40.6915801,-73.91038628,67,4,strict
14883614,3.7,2.6,2.7,3.9,3.8,3.34,2.6,3.9,89,Private room,n,n,1,40.69989324,-73.92828001,93,2,strict
362139,4.3,2.7,2.7,4.5,4.2,3.68,2.7,4.5,40,Private room,n,n,1,40.7073221,-73.92200859,100,1,moderate
16504241,3.4,2.3,2.4,3.6,3.3,3,2.3,3.6,65,Private room,n,n,1,40.69817457,-73.93527163,,2,flexible
14826478,3.2,4.3,4.5,2.7,3.9,3.72,2.7,4.5,72,Private room,n,n,1,40.66240948,-73.9462571,95,2,moderate
52549,2.9,4.5,4.7,2.4,3.6,3.62,2.4,4.7,40,Private room,n,n,2,40.65650898,-73.95747874,93,2,strict
4244634,3,4.5,4.7,2.5,3.6,3.66,2.5,4.7,115,Entire home/apt,n,n,1,40.65576217,-73.95769468,88,3,moderate
13300059,2.8,4.2,4.4,2.3,3.4,3.42,2.3,4.4,70,Entire home/apt,y,n,1,40.66071301,-73.95580132,99,2,strict
14213171,2.8,4.3,4.5,2.3,3.4,3.46,2.3,4.5,60,Private room,y,n,1,40.65878748,-73.95761915,98,2,strict
8722224,3.3,4.4,4.6,2.7,3.9,3.78,2.7,4.6,50,Entire home/apt,n,n,1,40.65948633,-73.94852221,100,2,strict
16589315,8.3,10.5,10.7,7.8,8.9,9.24,7.8,10.7,83,Entire home/apt,n,n,3,40.57856505,-73.98032364,97,4,moderate
17678919,2.8,4.1,4.2,2.3,3.4,3.36,2.3,4.2,78,Entire home/apt,n,y,1,40.6619103,-73.95448096,100,3,flexible
18112626,3.7,4.8,5,3.2,4.3,4.2,3.2,5,100,Entire home/apt,n,y,1,40.6565347,-73.94507875,100,2,flexible
8553197,3.2,4.4,4.6,2.7,3.8,3.74,2.7,4.6,90,Private room,n,n,1,40.65685217,-73.95286872,,2,flexible
9725232,2.9,4.1,4.2,2.4,3.5,3.42,2.4,4.2,125,Entire home/apt,n,y,1,40.66194921,-73.95275138,96,4,moderate
1011449,2.6,4.2,4.4,2.1,3.2,3.3,2.1,4.4,225,Entire home/apt,n,n,1,40.6591499,-73.96009734,93,5,strict
8842327,2.6,4,4.2,2.1,3.2,3.22,2.1,4.2,88,Entire home/apt,n,n,1,40.66249391,-73.9579545,93,2,moderate
6588947,3,4.5,4.7,2.5,3.6,3.66,2.5,4.7,60,Private room,n,n,2,40.65599311,-73.95745912,,2,moderate
10015137,2.7,4.3,4.4,2.2,3.3,3.38,2.2,4.4,80,Entire home/apt,n,n,1,40.65870701,-73.96101305,80,3,moderate
16202083,3.2,4.3,4.5,2.7,3.8,3.7,2.7,4.5,75,Private room,n,n,1,40.66122089,-73.94866663,100,2,strict
15647522,2.9,4,4.2,2.4,3.5,3.4,2.4,4.2,220,Private room,n,n,1,40.66317126,-73.95273598,100,2,flexible
17211583,3.9,2.9,3,3.9,3.9,3.52,2.9,3.9,43,Private room,n,y,4,40.69796142,-73.92408616,96,1,strict
15511121,3.9,2.9,3,4,3.9,3.54,2.9,4,75,Private room,y,y,1,40.69836684,-73.92300752,100,2,strict
14388889,4.5,3.4,3.5,4.5,4.6,4.1,3.4,4.6,45,Private room,n,n,1,40.69494077,-73.91298359,90,2,strict
8114144,3.8,2.5,2.6,4.1,3.9,3.38,2.5,4.1,120,Entire home/apt,n,n,1,40.7026962,-73.92810567,90,3,flexible
9737171,4.2,3.5,3.6,4.2,4.4,3.98,3.5,4.4,53,Private room,n,n,1,40.68804124,-73.91652092,95,2,flexible
1373456,4.1,2.7,2.7,4.3,4.1,3.58,2.7,4.3,65,Private room,n,n,1,40.70409923,-73.9241836,92,2,moderate
18094184,3.4,2.5,2.6,3.5,3.5,3.1,2.5,3.5,69,Private room,n,n,4,40.69489645,-73.9315182,84,2,strict
